Article,Link
paper2,#b55
paper2,#b19
paper2,#b23
paper2,#b51
paper2,#b62
paper2,#b83
paper2,#b2
paper2,#b18
paper2,#b47
paper2,#b62
paper2,#b77
paper2,#b87
paper2,#b2
paper2,#b62
paper2,#b16
paper2,#b7
paper2,#b10
paper2,#b17
paper2,#b82
paper2,#b47
paper2,#b47
paper2,#b67
paper2,#b77
paper2,#b66
paper2,#b62
paper2,#b82
paper2,#b82
paper2,#b30
paper2,#b86
paper2,#b10
paper2,#b14
paper2,#b51
paper2,#b20
paper2,#b72
paper2,#b51
paper2,#b90
paper2,#b16
paper2,#b1
paper2,#b16
paper2,#b10
paper2,#b82
paper2,#b80
paper2,#b57
paper2,#b16
paper2,#b31
paper2,#b57
paper2,#b86
paper2,#b20
paper2,#b37
paper2,#b75
paper2,#b55
paper2,#b42
paper2,#b56
paper2,#b10
paper2,#b55
paper2,#b10
paper2,#b66
paper2,#b20
paper2,#b47
paper2,#b72
paper2,#b9
paper2,#b88
paper2,#b16
paper2,#b9
paper2,#b46
paper3,https://github.com/kermitt2/grobid
paper3,#b7
paper3,#b24
paper3,#b20
paper3,#b22
paper3,#b63
paper3,#b93
paper3,#b23
paper3,#fig_0
paper3,#b21
paper3,#b20
paper3,#b69
paper3,#b15
paper3,#b41
paper3,#b64
paper3,#b86
paper3,#fig_1
paper3,#b90
paper3,#b54
paper3,#b85
paper3,#b106
paper3,#b44
paper3,#b46
paper3,#b19
paper3,#b67
paper3,#b46
paper3,#b83
paper3,#b82
paper3,#fig_2
paper3,#fig_3
paper3,#b51
paper3,#b84
paper3,#b51
paper3,#b4
paper3,#b50
paper3,#b73
paper3,#fig_4
paper3,#fig_4
paper3,#b13
paper3,#b40
paper3,#b48
paper3,#b33
paper3,#b81
paper3,#b27
paper3,#b35
paper3,#b36
paper3,#b78
paper3,#b101
paper3,#b66
paper3,#b104
paper3,#b12
paper3,#b27
paper3,#b34
paper3,#b71
paper3,#b17
paper3,#b35
paper3,#b34
paper3,#b42
paper3,#b54
paper3,#b36
paper3,#b76
paper3,#b49
paper3,#b77
paper3,#b88
paper3,#b105
paper3,#b32
paper3,#b95
paper3,#b100
paper3,#b105
paper3,#b95
paper3,#b77
paper3,#b91
paper3,#b31
paper3,#b77
paper3,#b80
paper3,#b100
paper3,#b95
paper3,#b91
paper3,#b103
paper3,#b86
paper3,#b11
paper3,#b0
paper3,#b40
paper3,#b74
paper3,#b75
paper3,#b48
paper3,#b38
paper3,#b8
paper3,#b29
paper3,#b62
paper3,#b73
paper3,#b50
paper3,#b64
paper3,#b48
paper3,#b2
paper3,#b68
paper3,#b52
paper3,#b79
paper3,#b30
paper3,#b72
paper3,#b87
paper3,#b98
paper3,#b53
paper3,#fig_5
paper3,#fig_5
paper3,#b28
paper3,#b39
paper3,#b0
paper3,#b1
paper3,#b45
paper3,#b47
paper3,#b70
paper3,#b86
paper3,#b47
paper3,#b16
paper3,#b65
paper3,#fig_5
paper3,#b99
paper3,#b39
paper3,#fig_5
paper3,#b1
paper3,#b3
paper3,#b5
paper3,#b18
paper3,#b37
paper3,#b6
paper3,#b61
paper3,#b94
paper3,#b105
paper3,#b96
paper3,#b8
paper3,#b29
paper3,#b62
paper3,#b73
paper3,#b2
paper3,#b89
paper3,#b4
paper3,https://doi.org/10.1016/j.eti.2023.103256
paper4,https://github.com/kermitt2/grobid
paper4,#b35
paper4,#b44
paper4,#b15
paper4,#b16
paper4,#b15
paper4,#b16
paper4,#b35
paper4,#b20
paper4,#b23
paper4,#b38
paper4,#b37
paper4,#b17
paper4,#b51
paper4,#b22
paper4,#b34
paper4,#b40
paper4,#b46
paper4,#b26
paper4,#b19
paper4,#b7
paper4,#b29
paper4,#b52
paper4,#b5
paper4,#b11
paper4,#b45
paper4,#b5
paper4,#b32
paper4,#b49
paper4,#b18
paper4,#b37
paper4,#fig_0
paper4,#b50
paper4,#b50
paper4,#b20
paper4,#b20
paper4,#b2
paper4,#b1
paper4,#b39
paper4,#b8
paper4,#b0
paper4,#b33
paper4,#b31
paper4,#b27
paper4,#b28
paper4,#b3
paper4,#b10
paper4,#b42
paper4,#b36
paper4,#b21
paper4,#b9
paper4,#b47
paper4,#b30
paper4,#b41
paper4,#b24
paper4,#b4
paper4,#b30
paper4,#b24
paper4,#b48
paper5,https://github.com/kermitt2/grobid
paper5,#b35
paper5,#b36
paper5,#b8
paper5,#b28
paper5,#b74
paper5,#b6
paper5,#b31
paper5,#b93
paper5,#b101
paper5,#b74
paper5,#b7
paper5,#b12
paper5,#b53
paper5,#fig_1
paper5,#b89
paper5,#fig_0
paper5,#b95
paper5,#b36
paper5,#b8
paper5,#b82
paper5,#fig_0
paper5,#b8
paper5,#b95
paper5,#b35
paper5,#b36
paper5,#b95
paper5,#b35
paper5,#b36
paper5,#fig_0
paper5,#b4
paper5,#b4
paper5,#b13
paper5,#b15
paper5,#b20
paper5,#b45
paper5,#fig_1
paper5,#b54
paper5,#b35
paper5,#tab_2
paper5,#fig_2
paper5,#b101
paper5,#b110
paper5,#fig_2
paper5,#fig_2
paper5,#b55
paper5,#b34
paper5,#b36
paper5,#b91
paper5,#b37
paper5,#b79
paper5,#b101
paper5,#b110
paper5,#b51
paper5,#b58
paper5,#b85
paper5,#tab_1
paper5,#tab_2
paper5,#b36
paper5,#b75
paper5,#b46
paper5,#b0
paper5,#b36
paper5,#b0
paper5,#b0
paper5,#b2
paper5,#b42
paper5,#fig_2
paper5,#tab_1
paper5,#b89
paper5,#b35
paper5,#b36
paper5,#b89
paper5,#b0
paper5,#b35
paper5,#b36
paper5,#b46
paper5,#b104
paper5,#b35
paper5,#b36
paper5,#b5
paper5,#b36
paper5,#b75
paper5,#b81
paper5,#b78
paper5,#b103
paper5,#b29
paper5,#b78
paper5,#b92
paper5,#b97
paper5,#b98
paper5,#b97
paper5,#b98
paper5,#b5
paper5,#b5
paper5,#b106
paper5,#b119
paper5,#b24
paper5,#b106
paper5,#b76
paper5,#b66
paper5,#b3
paper5,#b47
paper5,#b68
paper5,#b94
paper5,#b109
paper5,#b118
paper5,#b115
paper5,#b19
paper5,#b32
paper5,#b107
paper5,#b116
paper5,#b116
paper5,#b52
paper5,#b109
paper5,#b14
paper5,#b16
paper5,#b73
paper5,#b87
paper5,#b73
paper5,#b73
paper5,#b21
paper5,#b9
paper5,#b9
paper5,#b48
paper5,#b17
paper5,#b113
paper5,#b54
paper5,#b65
paper5,#b30
paper5,#b54
paper5,#b69
paper5,#b38
paper5,#b49
paper5,#b49
paper5,#b54
paper5,#b90
paper5,#b41
paper5,#b88
paper5,#b60
paper5,#b72
paper5,#b77
paper5,#b96
paper5,#b62
paper5,#b36
paper5,#b36
paper5,#b31
paper5,#b83
paper5,#b43
paper5,#b33
paper5,#b87
paper5,#b87
paper5,#b60
paper5,#b80
paper5,#b57
paper5,#b55
paper5,#b18
paper5,#b22
paper5,#b93
paper5,#b15
paper5,#b44
paper5,#b59
paper5,#b108
paper5,#b111
paper5,#b88
paper5,#tab_3
paper5,#b10
paper5,#b86
paper5,#b86
paper5,#tab_3
paper5,#tab_3
paper5,#b25
paper5,#b102
paper5,#b70
paper5,#b24
paper5,#b114
paper5,#b40
paper5,#b99
paper5,#b117
paper5,https://doi.org/10.1016/j.resenv.2021.100023
paper5,https://doi.org/10.1016/j.resenv.2021.100027
paper6,https://github.com/kermitt2/grobid
paper6,#b0
paper6,#b1
paper6,#b2
paper6,#b3
paper6,#b4
paper6,#b5
paper6,#b3
paper6,#b6
paper6,#b7
paper6,#b8
paper6,#b3
paper6,#b9
paper6,#b10
paper6,#b10
paper6,#b11
paper6,#b11
paper6,#b3
paper6,#b1
paper6,#b13
paper6,#b14
paper6,#b15
paper6,#b10
paper6,#b16
paper6,#b17
paper6,#b18
paper6,#b19
paper6,#b20
paper6,#b21
paper6,#b22
paper6,#b23
paper6,#b24
paper6,#b25
paper6,#b26
paper6,#b27
paper6,#b28
paper6,#b30
paper6,#b31
paper6,#b32
paper6,#b33
paper6,#b20
paper6,#b34
paper6,#b35
paper6,#b37
paper6,#b38
paper6,#b20
paper6,#b39
paper6,#b20
paper6,#b27
paper6,#b19
paper6,#b40
paper6,#b19
paper6,#fig_0
paper6,#fig_1
paper6,#fig_0
paper6,#b19
paper6,#b41
paper6,#tab_0
paper6,#b19
paper6,#b20
paper6,#fig_0
paper6,#b19
paper6,#b42
paper6,#b41
paper6,#tab_0
paper6,#tab_0
paper6,#b38
paper6,#b19
paper6,#b38
paper6,#b31
paper6,#b43
paper6,#b4
paper6,#b19
paper6,#b23
paper6,#b43
paper6,#b19
paper6,#b34
paper6,#b44
paper6,#b45
paper6,#b46
paper6,#b47
paper6,#b48
paper6,#b49
paper6,#b47
paper6,#b50
paper6,#b50
paper6,#b51
paper6,#b48
paper6,#b49
paper6,#b50
paper6,#b51
paper6,#b52
paper6,#b53
paper6,#b48
paper6,#b52
paper6,#b54
paper6,#b53
paper6,#b52
paper6,#b55
paper6,#b56
paper6,#b20
paper6,#b20
paper6,#b57
paper6,#b20
paper6,#b44
paper6,#b58
paper6,#b10
paper6,#b44
paper6,#b56
paper6,#b43
paper6,#b58
paper6,#b59
paper6,#b59
paper6,#b60
paper6,#b25
paper6,#b34
paper6,#b61
paper6,#fig_1
paper6,#b26
paper6,#b25
paper6,#b62
paper6,#b63
paper6,#b64
paper6,#b65
paper6,#fig_1
paper6,#b34
paper6,#b25
paper6,#b66
paper6,#b67
paper6,#b68
paper6,#b69
paper6,#b71
paper6,#b72
paper6,#b73
paper6,#b21
paper6,#b22
paper6,#b67
paper6,#b74
paper6,#b66
paper6,#b75
paper6,#b21
paper6,#b73
paper6,#b76
paper6,#b76
paper6,#b8
paper6,#b77
paper6,#b77
paper6,#b78
paper6,#b61
paper6,#b79
paper6,#b23
paper6,#b27
paper6,#b32
paper6,#b43
paper6,#b4
paper6,#b42
paper6,#b80
paper6,#b75
paper6,#b42
paper6,#b55
paper6,#b82
paper6,#b83
paper6,#b85
paper6,#b83
paper6,#b75
paper6,#b59
paper6,#b86
paper6,#b23
paper6,#b38
paper6,#b43
paper6,#b23
paper6,#b23
paper6,#b59
paper6,#b32
paper6,#b59
paper6,#b87
paper6,#b88
paper6,#b59
paper6,#b48
paper6,#b54
paper6,#b52
paper6,#b50
paper6,#b49
paper6,#b89
paper6,#b48
paper6,#b49
paper6,#b54
paper6,#b82
paper6,#b90
paper6,#b48
paper6,#b50
paper6,#b52
paper6,#b91
paper6,#b92
paper6,#b55
paper6,#b93
paper6,#b94
paper6,#b44
paper6,#b93
paper6,#b59
paper6,#b23
paper6,#b95
paper6,#b3
paper6,#b12
paper6,#b96
paper6,#b3
paper6,#b97
paper6,#b3
paper6,#b12
paper6,#b98
paper6,#b99
paper6,#b100
paper6,#b65
paper6,#b60
paper6,#b88
paper6,#b96
paper6,#b100
paper6,#b101
paper6,#b101
paper6,#b102
paper6,#b21
paper6,#b25
paper6,#b103
paper6,#b104
paper6,#b104
paper6,#b23
paper6,#b38
paper6,#b101
paper6,#b65
paper6,#b100
paper6,#b100
paper6,#b65
paper6,#b90
paper6,#b31
paper6,#b37
paper6,#b88
paper6,#b101
paper6,#b105
paper6,#b31
paper6,#b42
paper6,#b55
paper6,#b106
paper6,#b107
paper6,#b66
paper6,#b108
paper6,#b109
paper6,#b21
paper6,#b83
paper6,#b110
paper6,#b112
paper6,#b81
paper6,#b113
paper6,#b41
paper6,#b114
paper6,#b115
paper6,#b20
paper6,#b19
paper6,#b105
paper6,#b39
paper6,#b55
paper6,#b105
paper6,#b39
paper6,#b116
paper6,#b117
paper6,#b32
paper6,#b88
paper6,#b100
paper6,#b7
paper6,#b20
paper6,#b20
paper6,#b20
paper6,#b25
paper6,#b91
paper6,#b93
paper6,#b94
paper6,#b57
paper6,#b59
paper6,#b57
paper6,#b57
paper6,#b20
paper6,#b118
paper6,#b20
paper6,#b93
paper6,#b19
paper6,#b19
paper6,#b19
paper6,#b19
paper7,https://github.com/kermitt2/grobid
paper7,#b112
paper7,#b62
paper7,#b87
paper7,#b119
paper7,#b113
paper7,#b66
paper7,#b28
paper7,#b34
paper7,#b38
